provider_group,app,platform,primary_category,n_reviews,mean_compound,negative_share
NeoBank,Wise,google_play,Fees/Pricing,184,0.60503315217391307,0.092391304347826081
NeoBank,Wise,google_play,Customer Support Friction,135,0.020190370370370313,0.47407407407407387
NeoBank,Wise,google_play,Account Freeze/Restriction,126,-0.20187222222222226,0.62698412698412709
NeoBank,Revolut,google_play,UI/UX Bug,124,0.027233870967741949,0.36290322580645173
NeoBank,Revolut,google_play,Customer Support Friction,108,0.039158333333333281,0.48148148148148134
NeoBank,Revolut,google_play,Account Freeze/Restriction,100,-0.20434200000000005,0.61999999999999977
NeoBank,Starling,google_play,Customer Support Friction,93,0.47935053763440866,0.20430107526881722
NeoBank,Revolut,google_play,Fees/Pricing,81,0.49507037037037027,0.17283950617283952
NeoBank,Monzo,google_play,Customer Support Friction,69,0.2147565217391304,0.36231884057971009
NeoBank,Monzo,google_play,Account Freeze/Restriction,66,-0.31840151515151521,0.63636363636363635
NeoBank,Wise,google_play,UI/UX Bug,34,-0.075491176470588311,0.52941176470588214
NeoBank,Tide,app_store,Customer Support Friction,32,-0.20054062499999994,0.59375
NeoBank,Starling,app_store,Customer Support Friction,29,0.71764482758620685,0.10344827586206896
NeoBank,Revolut,google_play,KYC/Onboarding,28,-0.031078571428571379,0.42857142857142866
NeoBank,Wise,google_play,KYC/Onboarding,25,-0.24483200000000002,0.52
NeoBank,Monzo,app_store,Customer Support Friction,23,0.29006521739130431,0.34782608695652167
NeoBank,Revolut,google_play,Login/Access Issues,21,-0.16168571428571429,0.52380952380952384
NeoBank,Wise,app_store,Customer Support Friction,18,-0.0462055555555556,0.5
NeoBank,Tide,app_store,Account Freeze/Restriction,18,-0.46192222222222223,0.77777777777777779
NeoBank,Wise,app_store,Fees/Pricing,16,0.75514375000000011,0.062500000000000014
NeoBank,Starling,google_play,UI/UX Bug,15,0.24778666666666671,0.20000000000000004
NeoBank,Wise,google_play,Login/Access Issues,13,0.017230769230769202,0.46153846153846151
NeoBank,Revolut,app_store,Customer Support Friction,12,0.897575,0.0
NeoBank,Starling,google_play,Account Freeze/Restriction,11,-0.068554545454545451,0.54545454545454541
NeoBank,Wise,app_store,Account Freeze/Restriction,10,0.19971999999999995,0.3
NeoBank,Monzo,google_play,Login/Access Issues,9,-0.042166666666666658,0.55555555555555558
NeoBank,Starling,google_play,Fees/Pricing,8,0.7632125,0.0
NeoBank,Monzo,google_play,KYC/Onboarding,8,-0.1416375,0.50000000000000011
NeoBank,Monzo,google_play,UI/UX Bug,7,0.16184285714285715,0.4285714285714286
NeoBank,Wise,google_play,Transfer Latency,7,0.0066142857142857114,0.57142857142857151
NeoBank,Starling,google_play,Login/Access Issues,6,0.29905000000000004,0.0
NeoBank,Starling,google_play,Card Declines,6,-0.084766666666666685,0.5
NeoBank,Wise,google_play,Card Declines,6,-0.30469999999999997,0.66666666666666674
NeoBank,Tide,app_store,UI/UX Bug,6,0.10738333333333333,0.5
NeoBank,Monzo,app_store,Account Freeze/Restriction,5,-0.43479999999999996,0.8
NeoBank,ANNA Bank,google_play,Customer Support Friction,5,0.70690000000000008,0.0
NeoBank,Revolut,app_store,Fees/Pricing,5,0.90884,0.0
NeoBank,ANNA Bank,app_store,Customer Support Friction,5,0.54074,0.2
NeoBank,Wise,app_store,UI/UX Bug,5,-0.35496,0.8
NeoBank,Revolut,google_play,Transfer Latency,5,-0.33698,0.6
NeoBank,Monzo,app_store,UI/UX Bug,5,-0.27502,0.8
NeoBank,Monzo,google_play,Fees/Pricing,4,0.72577500000000006,0.0
NeoBank,Wise,app_store,KYC/Onboarding,4,0.074974999999999958,0.5
NeoBank,Starling,app_store,UI/UX Bug,4,-0.26607499999999995,0.5
NeoBank,Starling,app_store,Account Freeze/Restriction,4,-0.13819999999999996,0.5
NeoBank,Revolut,app_store,UI/UX Bug,4,0.019375000000000003,0.5
NeoBank,Wise,app_store,Transfer Latency,4,-0.059975,0.25
NeoBank,ANNA Bank,app_store,Account Freeze/Restriction,3,-0.36183333333333334,0.66666666666666663
NeoBank,ANNA Bank,google_play,Account Freeze/Restriction,3,-0.66496666666666671,1.0
NeoBank,Starling,app_store,Card Declines,3,0.47473333333333328,0.33333333333333337
NeoBank,Revolut,google_play,Card Declines,3,0.19103333333333328,0.33333333333333337
NeoBank,Starling,app_store,Fees/Pricing,3,0.36626666666666668,0.33333333333333337
NeoBank,Tide,app_store,KYC/Onboarding,2,0.079300000000000037,0.5
NeoBank,Starling,google_play,KYC/Onboarding,2,-0.35015,0.5
NeoBank,ANNA Bank,app_store,KYC/Onboarding,2,-0.2529,1.0
NeoBank,Monzo,app_store,Fees/Pricing,2,0.8914,0.0
NeoBank,ANNA Bank,google_play,UI/UX Bug,2,-0.63845,1.0
NeoBank,Wise,app_store,Login/Access Issues,2,0.06225,0.0
NeoBank,Monzo,google_play,Transfer Latency,2,-0.463,0.5
NeoBank,Starling,app_store,KYC/Onboarding,1,0.0,0.0
NeoBank,Revolut,app_store,Account Freeze/Restriction,1,0.8603,0.0
NeoBank,Starling,app_store,Transfer Latency,1,0.1531,0.0
NeoBank,Monzo,google_play,Card Declines,1,-0.3758,1.0
NeoBank,Revolut,app_store,Transfer Latency,1,0.9842,0.0
NeoBank,ANNA Bank,app_store,Fees/Pricing,1,-0.6978,1.0
NeoBank,ANNA Bank,google_play,Card Declines,1,-0.1531,1.0
TradBank,Barclays,google_play,UI/UX Bug,133,-0.026784210526315841,0.42105263157894768
TradBank,HSBC,google_play,UI/UX Bug,65,-0.12715384615384612,0.4615384615384614
TradBank,HSBC,google_play,Customer Support Friction,52,0.09169807692307691,0.44230769230769218
TradBank,Lloyds,google_play,UI/UX Bug,52,-0.095148076923076974,0.51923076923076916
TradBank,NatWest,google_play,Login/Access Issues,51,-0.090994117647058947,0.49019607843137253
TradBank,NatWest,google_play,UI/UX Bug,47,-0.051808510638297854,0.44680851063829785
TradBank,NatWest,google_play,Customer Support Friction,35,0.23325142857142858,0.2857142857142857
TradBank,Barclays,google_play,Customer Support Friction,33,0.17015757575757573,0.39393939393939392
TradBank,Lloyds,google_play,Customer Support Friction,24,0.12472499999999996,0.375
TradBank,Lloyds,app_store,UI/UX Bug,23,-0.0048043478260869354,0.47826086956521735
TradBank,HSBC,google_play,Account Freeze/Restriction,23,-0.26746956521739129,0.65217391304347816
TradBank,HSBC,google_play,Login/Access Issues,22,-0.18425909090909087,0.54545454545454564
TradBank,Barclays,app_store,UI/UX Bug,20,-0.04683,0.5
TradBank,Barclays,google_play,Login/Access Issues,18,-0.0014166666666666217,0.44444444444444442
TradBank,HSBC,google_play,KYC/Onboarding,17,-0.27288823529411765,0.70588235294117652
TradBank,Lloyds,google_play,Login/Access Issues,16,-0.216675,0.5625
TradBank,Barclays,app_store,Customer Support Friction,15,0.13355999999999998,0.33333333333333331
TradBank,Lloyds,app_store,Customer Support Friction,13,0.21207692307692305,0.30769230769230771
TradBank,NatWest,app_store,Customer Support Friction,13,0.0788846153846153,0.46153846153846151
TradBank,Lloyds,google_play,Account Freeze/Restriction,12,-0.13371666666666665,0.58333333333333337
TradBank,NatWest,google_play,Account Freeze/Restriction,11,-0.15123636363636359,0.54545454545454541
TradBank,Barclays,google_play,Account Freeze/Restriction,9,-0.026122222222222231,0.22222222222222227
TradBank,NatWest,app_store,Login/Access Issues,7,0.37118571428571434,0.28571428571428575
TradBank,Barclays,app_store,Account Freeze/Restriction,5,-0.4606,0.8
TradBank,HSBC,google_play,Fees/Pricing,4,0.022749999999999992,0.5
TradBank,Barclays,app_store,Login/Access Issues,3,0.72556666666666658,0.0
TradBank,NatWest,app_store,UI/UX Bug,3,-0.5868,0.66666666666666663
TradBank,Barclays,google_play,Card Declines,3,-0.020766666666666711,0.66666666666666674
TradBank,Lloyds,app_store,KYC/Onboarding,3,-0.21676666666666672,0.66666666666666674
TradBank,Lloyds,google_play,Card Declines,3,-0.31129999999999991,0.66666666666666674
TradBank,NatWest,app_store,Account Freeze/Restriction,3,0.18233333333333329,0.33333333333333337
TradBank,Lloyds,app_store,Account Freeze/Restriction,3,-0.40096666666666669,0.66666666666666663
TradBank,NatWest,google_play,KYC/Onboarding,3,-0.2788666666666666,0.33333333333333337
TradBank,Lloyds,app_store,Login/Access Issues,2,-0.675,1.0
TradBank,Lloyds,google_play,KYC/Onboarding,2,0.094099999999999961,0.5
TradBank,NatWest,google_play,Fees/Pricing,2,-0.047000000000000042,0.5
TradBank,HSBC,google_play,Card Declines,2,-0.10799999999999998,0.5
TradBank,NatWest,google_play,Card Declines,2,-0.24374999999999997,0.5
TradBank,NatWest,app_store,Card Declines,2,-0.18830000000000002,0.5
TradBank,Barclays,google_play,KYC/Onboarding,1,-0.3612,1.0
TradBank,Lloyds,app_store,Fees/Pricing,1,0.4588,0.0
TradBank,Lloyds,google_play,Transfer Latency,1,0.34,0.0
