provider_group,primary_category,n_reviews
NeoBank,Customer Support Friction,1434
NeoBank,Account Freeze/Restriction,1057
NeoBank,Fees/Pricing,1052
NeoBank,UI/UX Bug,579
NeoBank,KYC/Onboarding,324
NeoBank,Login/Access Issues,160
NeoBank,Transfer Latency,90
NeoBank,Card Declines,65
TradBank,UI/UX Bug,765
TradBank,Customer Support Friction,436
TradBank,Login/Access Issues,232
TradBank,Account Freeze/Restriction,128
TradBank,KYC/Onboarding,47
TradBank,Card Declines,38
TradBank,Fees/Pricing,11
TradBank,Transfer Latency,4
